id,role,type,description,size/ratio,style line ref,source
tex_asphalt,road surface map (tiles),texture,teal-gray asphalt with worn yellow lane dashes,256x256 seamless,blocks 1+3,generate (procedural canvas)
tex_sidewalk,sidewalk and plaza surface (tiles),texture,warm sandy concrete pavement slabs,256x256 seamless,blocks 1+3,generate (procedural canvas)
tex_grass,park ground surface (tiles),texture,bright stylized lawn with soft mottling,256x256 seamless,blocks 1+3,generate (procedural canvas)
tex_facade,building facade window grid (tiles),texture,pastel facade with aligned lit/dark window grid,256x256 seamless,blocks 1+2+3,generate (procedural canvas)
mdl_player,hero character,3d procedural,chunky toy-like hero in bold orange-and-white outfit with limb-swing walk,1.0 hero-units,blocks 2+3,generate (procedural primitives)
mdl_npc,pedestrians,3d procedural,chunky toy pedestrians in pastel outfits with waddle walk,1.0 hero-units,blocks 2+3,generate (procedural primitives)
mdl_car,drivable and traffic cars,3d procedural,rounded boxy low-poly cars single merged vertex-colored mesh,2.6 hero-units long,blocks 2+3,generate (procedural primitives)
mdl_building,city buildings,3d procedural,instanced facade boxes with pastel tints,4-22 hero-units,blocks 1+3,generate (procedural primitives)
mdl_tree,park and street trees,3d procedural,instanced trunk plus round canopy,1.5-2.5 hero-units,blocks 2+3,generate (procedural primitives)
fx_marker,objective and business markers,3d procedural,glowing yellow-gold ring beacon with pulse,1.2 hero-units,block 3 signal hue,generate (procedural primitives)
ui_touch,virtual joystick and action buttons,ui,translucent warm circles drawn with CSS,screen-relative,blocks 3+5,generate (procedural css)
img_thumbnail,deploy card cover and OG image,image,Sunset City cover art with readable game title,16:9,full formula,generate
img_favicon,deploy site icon and catalog card,image,golden sun over a pastel low-poly city block,1:1,full formula,generate
aud_music,looping background track,audio,laid-back tropical synthwave instrumental loop,40s loop,blocks 3+4 mood,generate (sonilo_music)
aud_cash,purchase/upgrade/tips/side-job payout,audio,bright cash register cha-ching,1s,signal cue,generate (mirelo)
aud_jingle,mission-complete sting,audio,three rising marimba-bell notes,2s,signal cue,generate (mirelo)
aud_door,car enter/exit,audio,car door open-close clunk,1s,motion cue,generate (mirelo)
aud_horn,player horn button,audio,friendly double car honk,1s,motion cue,generate (mirelo)
aud_engine,driving loop pitched by speed,audio,steady small-engine hum loop,5s loop,motion cue,generate (mirelo)
mdl_taxi,taxi company building,3d procedural,low yellow office with sign,6 hero-units tall,blocks 1+3,generate (procedural primitives)
mdl_marina,marina building,3d procedural,wide teal waterfront hall with sign,7 hero-units tall,blocks 1+3,generate (procedural primitives)
mdl_palm_token,golden palm collectible,3d procedural,spinning glowing gold octahedron token,0.85 hero-units,block 3 signal hue,generate (procedural primitives)
mdl_police,police chase car,3d procedural,dark-blue car with flashing roof light bar,2.6 hero-units long,blocks 2+3,generate (procedural primitives)
